우선순위,순서,앱,구분,화면/Route,API,QA 체크,기대 결과,결과,판단,Severity,Issue ID,메모,QA_ID
P2,022,User Web,회사,https://onehandsales.vercel.app/app/companies,/api/companies/export/xlsx,현재 필터 기준 XLSX 다운로드 확인,파일 다운로드가 성공하고 실패 시 화면이 멈추지 않는다,,,,,,USER-COMPANY-007
P2,029,User Web,담당자,https://onehandsales.vercel.app/app/contacts,/api/contacts/export/xlsx,현재 필터 기준 XLSX 다운로드 확인,파일 다운로드가 성공하고 실패 시 화면이 멈추지 않는다,,,,,,USER-CONTACT-007
P2,030,User Web,담당자,https://onehandsales.vercel.app/app/contacts,N/A,"긴 email, phone, URL, 이름의 모바일 표시 확인",텍스트가 부모 영역을 깨거나 버튼을 가리지 않는다,,,,,,USER-CONTACT-008
P2,037,User Web,제품,https://onehandsales.vercel.app/app/products,/api/products/export/xlsx,현재 필터 기준 XLSX 다운로드 확인,파일 다운로드가 성공하고 실패 시 화면이 멈추지 않는다,,,,,,USER-PRODUCT-007
P2,043,User Web,딜,https://onehandsales.vercel.app/app/deals,/api/deals/export/xlsx,현재 필터 기준 XLSX 다운로드 확인,파일 다운로드가 성공하고 실패 시 화면이 멈추지 않는다,,,,,,USER-DEAL-006
P2,048,User Web,일정,https://onehandsales.vercel.app/app/schedules/week,/api/schedules/week/export/xlsx?weekStart=...,주간 일정 리포트 XLSX 다운로드 확인,현재 week/timeZone 기준 파일이 다운로드된다,,,,,,USER-SCHEDULE-005
P2,057,User Web,명함 OCR,https://onehandsales.vercel.app/app/business-cards,/api/business-card-scans,"잘못된 파일 형식, 용량 제한, 중복 confirm 확인",안전한 오류 메시지와 중복 저장 방지가 동작한다,,,,,,USER-CARD-003
P2,059,User Web,알림,"https://onehandsales.vercel.app/app/notifications, https://onehandsales.vercel.app/app/settings",/api/notifications/settings,알림 설정 조회/수정 확인,설정 변경이 알림 페이지와 후속 알림 동작에 반영된다,,,,,,USER-NOTI-002
P2,060,User Web,알림,https://onehandsales.vercel.app/app/notifications,/api/notifications/browser-push/public-key; /api/notifications/browser-subscriptions; /api/notifications/browser-subscriptions/:subscriptionId,"browser push 권한 허용/거부, subscription 생성/삭제 확인","지원 브라우저는 등록/해제 가능, 미지원 브라우저는 안전하게 안내된다",,,,,,USER-NOTI-003
P2,066,User Web,Import,https://onehandsales.vercel.app/app/export; pages/export/index.tsx,/api/exports; /api/exports/:exportJobId; /api/exports/:exportJobId/download,generic export route와 export page 파일 숨김 확인,/app/export는 /app로 redirect되고 pages/export는 router에 import되지 않으며 generic export API를 호출하지 않는다,,,,,,USER-IMPORT-006
P2,074,User Web,Settings,https://onehandsales.vercel.app/app/settings,/api/follow-up-delivery/settings; /api/follow-up-delivery/email-connections/:provider/connect; /api/follow-up-delivery/email-connections/:provider/callback; /api/follow-up-delivery/email-connections/:connectionId/disconnect,"follow-up email 연결, callback, 연결 해제 확인",연결 상태가 settings에 반영되고 callback URL과 오류 메시지에 secret/token이 없다,,,,,,USER-SETTINGS-004
P2,075,User Web,Settings,https://onehandsales.vercel.app/app/settings,/api/follow-up-delivery/sms-sender-numbers; /api/follow-up-delivery/sms-sender-numbers/:senderNumberId/verify; /api/follow-up-delivery/sms-sender-numbers/:senderNumberId/revoke; /api/follow-up-delivery/consent-notices/:channel/acknowledge,SMS 발신번호와 consent 확인,인증/철회/동의 상태가 화면에 반영된다,,,,,,USER-SETTINGS-005
P2,078,User Web,Redirect,"https://onehandsales.vercel.app/app/contacts/scan, https://onehandsales.vercel.app/contacts/scan",N/A,명함 OCR redirect 확인,/app/business-cards로 이동하고 contacts scan 전용 API를 호출하지 않는다,,,,,,USER-REDIRECT-001
P2,079,User Web,Redirect,"https://onehandsales.vercel.app/app/meeting-notes/new, https://onehandsales.vercel.app/meeting-notes/new",N/A,회의록 create redirect 확인,/app/meeting-notes?create=1로 이동하고 생성 진입 상태가 열린다,,,,,,USER-REDIRECT-002
P2,080,User Web,Redirect,"legacy https://onehandsales.vercel.app/companies, legacy https://onehandsales.vercel.app/companies/new, legacy https://onehandsales.vercel.app/companies/new/full, legacy https://onehandsales.vercel.app/companies/:companyId, legacy https://onehandsales.vercel.app/contacts, legacy https://onehandsales.vercel.app/contacts/new, legacy https://onehandsales.vercel.app/contacts/new/full, legacy https://onehandsales.vercel.app/contacts/:contactId, legacy https://onehandsales.vercel.app/products, legacy https://onehandsales.vercel.app/products/new, legacy https://onehandsales.vercel.app/products/new/full, legacy https://onehandsales.vercel.app/products/:productId, legacy https://onehandsales.vercel.app/deals, legacy https://onehandsales.vercel.app/deals/new, legacy https://onehandsales.vercel.app/deals/new/full, legacy https://onehandsales.vercel.app/deals/:dealId, legacy https://onehandsales.vercel.app/schedules, legacy https://onehandsales.vercel.app/schedules/week, legacy https://onehandsales.vercel.app/schedules/:scheduleId, legacy https://onehandsales.vercel.app/meeting-notes, legacy https://onehandsales.vercel.app/meeting-notes/new/full, legacy https://onehandsales.vercel.app/meeting-notes/:meetingNoteId, legacy https://onehandsales.vercel.app/business-cards, legacy https://onehandsales.vercel.app/import, legacy https://onehandsales.vercel.app/import/review/:importJobId, legacy https://onehandsales.vercel.app/import/:importUserLogId, legacy https://onehandsales.vercel.app/trash, legacy https://onehandsales.vercel.app/settings, legacy https://onehandsales.vercel.app/more",N/A,legacy app route redirect 확인,대응 /app/* route로 이동하고 id param이 유지된다,,,,,,USER-REDIRECT-003
P2,096,Admin Web,Analytics,https://onehandsales-admin.vercel.app/analytics,/admin/api/analytics/overview,"date range, timeZone, overview card 확인",빈 데이터와 부분 데이터에서도 카드/차트가 깨지지 않는다,,,,,,ADMIN-ANALYTICS-001
P2,101,Admin Web,Redirect,"https://onehandsales-admin.vercel.app/organizations, https://onehandsales-admin.vercel.app/subscriptions, https://onehandsales-admin.vercel.app/support; pages/organizations; pages/subscriptions; pages/support",N/A,비활성 admin route와 page 파일 redirect 확인,/로 이동하고 organization/subscription/support page 파일은 router에 import되지 않으며 전용 API를 호출하지 않는다,,,,,,ADMIN-REDIRECT-001
P2,102,Admin Web,Inactive,features/admin-query legacy API,/admin/api/dashboard; /admin/api/users; /admin/api/users/:userId; /admin/api/users/:userId/:domain; /admin/api/:domain/:targetId; /admin/api/audit-logs; /admin/api/audit-logs/:auditLogId; /admin/api/companies; /admin/api/contacts; /admin/api/products; /admin/api/deals; /admin/api/deals/:targetId/sensitive/raw; /admin/api/meeting-notes/:targetId/sensitive/raw; /admin/api/sensitive/raw,router 미연결 legacy helper exact path 사용 여부 확인,현재 페이지 QA 대상이 아니며 화면에 재연결 시 exact legacy API별 별도 QA를 만든다,,,,,,ADMIN-INACTIVE-001
P2,104,User Web,Follow-up,https://onehandsales.vercel.app/app/contacts/:contactId,/api/follow-up-messages?targetType=CONTACT&targetId=...; /api/follow-up-messages/:messageId; /api/follow-up-messages/:messageId/retry,"담당자 상세 follow-up timeline, 상세, 재시도 확인",담당자 기준 메시지 이력이 표시되고 재시도 결과가 갱신된다,,,,,,USER-FOLLOWUP-002
P2,105,User Web,Follow-up,https://onehandsales.vercel.app/app/deals/:dealId,/api/follow-up-messages?targetType=DEAL&targetId=...; /api/follow-up-messages/:messageId; /api/follow-up-messages/:messageId/retry,"딜 상세 follow-up timeline, 상세, 재시도 확인",딜 기준 메시지 이력이 표시되고 재시도 결과가 갱신된다,,,,,,USER-FOLLOWUP-003
P2,106,Admin Web,Inactive,pages/dashboard/index.tsx,/admin/api/dashboard,Admin dashboard page 파일 비활성 확인,dashboard page 파일과 /admin/api/dashboard helper는 존재하지만 현재 router에 연결되지 않는다,,,,,,ADMIN-INACTIVE-002
P2,111,User Web,일정/설정,"https://onehandsales.vercel.app/app/schedules, https://onehandsales.vercel.app/app/settings",/api/schedules/google/callback; /api/schedules/google/status; /api/schedules/google/calendars,"Google Calendar callback 성공, 실패, 재연결 상태 확인","성공/실패/만료 state가 화면에 분리 표시되고 재연결 후 선택 calendar와 sync 상태가 갱신된다",,,,,,USER-SCHEDULE-GCAL-001
P2,112,User Web,Settings,https://onehandsales.vercel.app/app/settings,/api/follow-up-delivery/email-connections/:provider/callback; /api/follow-up-delivery/settings,"Follow-up email callback 성공, 실패, 재연결 상태 확인","성공/실패/만료 state가 settings에 안전하게 표시되고 재연결 후 발신 가능 상태가 갱신된다",,,,,,USER-SETTINGS-FOLLOWUP-001
P2,113,User Web,Settings,https://onehandsales.vercel.app/app/settings,/api/follow-up-delivery/sms-sender-numbers; /api/follow-up-delivery/sms-sender-numbers/:senderNumberId/verify; /api/follow-up-delivery/sms-sender-numbers/:senderNumberId/revoke; /api/follow-up-delivery/consent-notices/:channel/acknowledge,"SMS 발신번호 인증, 철회, consent 상태별 오류/재시도 확인","인증 실패/재시도/철회/동의 상태가 분리되어 보이고 전송 가능 여부가 일관되게 갱신된다",,,,,,USER-SETTINGS-SMS-001
P2,114,User Web,UXUI,https://onehandsales.vercel.app/app/*,N/A,"Desktop Chrome 1440px에서 AppShell, navigation, table/list/card/form/modal 기본 동작 확인","주요 기능 수행 중 레이아웃 깨짐, 버튼 가림, overflow, loading/empty/error 상태 누락이 없다",,,,,,USER-UX-GLOBAL-001
P2,115,User Web,UXUI,"https://onehandsales.vercel.app/app/companies, https://onehandsales.vercel.app/app/contacts, https://onehandsales.vercel.app/app/products, https://onehandsales.vercel.app/app/deals, https://onehandsales.vercel.app/app/schedules, https://onehandsales.vercel.app/app/meeting-notes, https://onehandsales.vercel.app/app/trash, https://onehandsales.vercel.app/app/settings",N/A,"390px/360px 모바일에서 목록, 상세, 생성/수정, bottom nav, modal/form 확인","핵심 CTA와 저장/삭제/복구 동선이 가려지지 않고 텍스트가 부모 영역을 깨지 않는다",,,,,,USER-UX-MOBILE-001
P2,116,User Web,접근성,https://onehandsales.vercel.app/app/*,N/A,"키보드 이동, focus ring, dialog focus trap, icon-only button label 확인","마우스 없이 주요 동선 접근 가능하고 label 없는 버튼/입력 필드가 없다",,,,,,USER-UX-A11Y-001
P2,117,Admin Web,UXUI,https://onehandsales-admin.vercel.app/*,N/A,"Desktop Chrome 1440px에서 shell, table, filter, 상세 패널, 긴 email/ID/마스킹 값 표시 확인","운영 데이터가 잘리지 않고 민감 값이 의도치 않게 확장 노출되지 않는다",,,,,,ADMIN-UX-GLOBAL-001
P2,118,User/Admin Web,브라우저,"https://onehandsales.vercel.app/app/*, https://onehandsales-admin.vercel.app/*",N/A,"Chrome, Edge, 125% zoom에서 로그인 후 주요 페이지 진입과 핵심 CTA 확인","브라우저/zoom 차이로 버튼, 테이블, 모달, navigation이 기능 수행을 막지 않는다",,,,,,BROWSER-COMPAT-001
P1,119,User Web,회의록,"https://onehandsales.vercel.app/app/meeting-notes/new/full, https://onehandsales.vercel.app/app/meeting-notes/:meetingNoteId",/api/meeting-notes/stt-draft,"음성 파일 기반 STT+AI draft 생성, 파일 누락/형식/25MB 초과/재시도 확인","성공 시 초안 preview가 표시되고 파일 제한/provider 실패는 안전한 메시지로 표시된다",,,,,,USER-MEETING-STT-001
P1,120,User Web,회의록,https://onehandsales.vercel.app/app/meeting-notes/:meetingNoteId,/api/meeting-notes/:meetingNoteId/next-actions/draft; /api/meeting-notes/:meetingNoteId/follow-up-draft,저장된 회의록 기반 next action과 follow-up draft 생성 확인,DB 저장 없이 후보/문안이 표시되고 provider 실패/재시도 상태가 분리된다,,,,,,USER-MEETING-ACTION-001
P1,121,BE,Validation,BE Aux DTO/Validation,/api/auth/*; /api/users/me/*; /api/analytics/events; /api/search; /api/notifications/*; /api/follow-up-*; /api/sales-reports/weekly; /api/schedules/google/*,Auth/Profile/AccountRequest/Analytics/Search/Notification/Follow-up/SalesReport/Google DTO whitelist와 enum/query/body 검증,잘못된 query/body는 400으로 차단되고 token/secret/raw provider 오류가 응답에 노출되지 않는다,,,,,,BE-DTO-AUX-001
P1,122,BE,Validation,BE Admin DTO/Validation,/admin/api/users; /admin/api/audit-logs; /admin/api/sensitive/raw-access; /admin/api/provider-failures; /admin/api/trash/*; /admin/api/analytics/overview; /admin/api/system/operation-checks,Admin list/filter/cursor/date range/raw-access reason/system items DTO 검증,잘못된 filter와 body는 400으로 차단되고 민감 원문/secret은 validation 실패 응답에 남지 않는다,,,,,,BE-DTO-ADMIN-001
P1,123,BE,Ownership/Transaction,BE Aux Ownership,/api/company-fields; /api/contact-job-grades; /api/product-categories; /api/notifications/*; /api/follow-up-messages/*; /api/sales-reports/weekly/*; /api/schedules/google/*; /api/import-user-logs/*,"taxonomy, memo/private memo, notification/browser subscription, follow-up message, sales report, provider connection, import user log 타 사용자 접근 확인",소유자가 아닌 리소스는 403/404로 차단되고 삭제/연결 해제/재시도에서 타 사용자 데이터가 변경되지 않는다,,,,,,BE-OWNERSHIP-AUX-001
P2,124,User Web,민감 정보,"https://onehandsales.vercel.app/app/companies/:companyId, https://onehandsales.vercel.app/app/contacts/:contactId, https://onehandsales.vercel.app/app/products/:productId",/api/companies/:companyId/private-memo-logs; /api/contacts/:contactId/private-memo-logs; /api/products/:productId/private-memo-logs,private memo 작성 후 목록/export/search/admin 기본 목록/console 노출 여부 확인,"private memo 본문은 작성자 상세 영역 외 검색 결과, export 파일, 관리자 기본 목록, console/error toast에 노출되지 않는다",,,,,,USER-PRIVATE-MEMO-001
